Period,death,hospitalizedCurrently,positiveCasesViral,positiveIncrease,positiveTestsViral,deathIncrease,positiveTestsViralIncrease,positiveCasesIncrease,positivityRate,State
14.0,5123.307692307692,773.0769230769231,1984548.2307692308,715.3076923076923,,20.615384615384617,,14503.0,0.0,LA
15.0,5390.384615384615,601.2307692307693,2202533.3846153845,543.2307692307693,,15.538461538461538,,15182.384615384615,0.0,LA
16.0,5590.923076923077,554.6923076923077,2405462.3846153845,599.9230769230769,,13.76923076923077,,14092.615384615385,0.0,LA
17.0,5774.153846153846,584.7692307692307,2614204.0,651.7692307692307,,13.461538461538462,,14501.076923076924,0.0,LA
18.0,5964.076923076923,621.7692307692307,2811091.230769231,665.2307692307693,,13.538461538461538,,13376.846153846154,0.0,LA
1.0,251.23076923076923,452.61538461538464,81094.23076923077,216.92307692307693,,9.666666666666666,,4510.416666666667,0.0,AL
2.0,389.1666666666667,471.8333333333333,125144.0,288.1666666666667,,14.833333333333334,,3950.3333333333335,0.0,AL
3.0,484.8333333333333,494.6666666666667,151161.33333333334,293.1666666666667,,9.166666666666666,,4058.0,0.0,AL
4.0,550.0,512.8333333333334,183509.33333333334,442.0,,9.666666666666666,,4884.833333333333,0.0,AL
5.0,623.5,563.6666666666666,214984.83333333334,466.5,,11.666666666666666,,4668.0,0.0,AL
6.0,692.8333333333334,565.8333333333334,250936.66666666666,428.5,,12.666666666666666,,6015.166666666667,0.0,AL
7.0,771.5,622.3333333333334,293623.3333333333,820.5,,6.833333333333333,,5390.333333333333,0.0,AL
8.0,835.6666666666666,654.1666666666666,339780.5,630.8333333333334,,12.333333333333334,,7214.333333333333,0.0,AL
9.0,920.0,694.6666666666666,385939.0,996.8333333333334,,9.833333333333334,,7970.666666666667,0.0,AL
10.0,1007.5,920.1666666666666,442625.1666666667,1137.1666666666667,,10.166666666666666,,7901.5,0.0,AL
11.0,1115.8333333333333,1214.8333333333333,503108.3333333333,1715.5,,17.666666666666668,,10086.833333333334,0.0,AL
12.0,1277.0,1489.1666666666667,576974.6666666666,1881.8333333333333,,15.333333333333334,,9815.166666666666,0.0,AL
13.0,2055.153846153846,1074.3846153846155,929774.2307692308,1207.4615384615386,,18.923076923076923,,8666.76923076923,0.0,AL
14.0,2291.923076923077,837.1538461538462,982443.4615384615,911.0,,11.923076923076923,,4996.384615384615,0.0,AL
