State,Period,Depression_Score,Anxiety_Score,Mix_Score,deathIncrease,death,hospitalizedCurrently,positiveCasesIncrease,positiveCasesViral,totalTestsPeopleViralIncrease,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
NJ,1,23.6,31.4,37.6,264.6666666666667,8219.0,6177.538461538462,7289.583333333333,242544.3076923077,7381.846153846154,75491590.0,173946970.0,790117476.0,233312826.0,206989492.0,91494680.0,109359232.0,100986754.0,33453048.0,10124814.0,3296940.0,734938.0,364752.0
NM,1,22.4,27.9,34.6,7.0,118.61538461538461,159.3846153846154,166.28571428571428,3607.75,0.0,15378382.0,43293602.0,198991707.0,53453358.0,54075257.0,24720302.0,28374972.0,22026849.0,8877014.0,4899913.0,2075419.0,403593.0,85030.0
NY,1,28.7,36.1,41.4,325.4166666666667,17885.53846153846,11941.538461538461,3219.5,315570.2,0.0,188679488.0,358502364.0,1842395332.0,551948304.0,475356414.0,220327642.0,268632446.0,236245960.0,62603656.0,18680350.0,6272560.0,1310824.0,1017176.0
NC,1,21.1,30.0,34.6,16.583333333333332,354.84615384615387,496.84615384615387,384.6666666666667,11236.714285714286,0.0,68094116.0,222647244.0,922072430.0,211190064.0,236795870.0,119297290.0,148060544.0,139923632.0,44990344.0,14211680.0,6068598.0,1206172.0,328236.0
ND,1,17.0,21.7,27.7,0.16666666666666666,18.0,25.23076923076923,1820.1666666666667,27781.53846153846,1556.923076923077,5441271.0,15840122.0,61341986.0,16509538.0,16647136.0,7705991.0,7551751.0,6555865.0,3300381.0,2083728.0,821554.0,128491.0,37551.0
OH,1,21.2,31.1,35.1,39.916666666666664,884.6923076923077,1020.25,4691.0,125109.76923076923,0.0,85807710.0,241496666.0,1008989260.0,263828804.0,255400580.0,122530856.0,152454246.0,150683244.0,44014102.0,13669576.0,4906490.0,1088916.0,412446.0
OK,1,20.8,28.6,34.1,5.666666666666667,214.3846153846154,274.84615384615387,6406.25,38656.46153846154,0.0,26019010.0,84387202.0,330670894.0,83029914.0,85529162.0,39693536.0,48494028.0,49184756.0,15775988.0,6172106.0,2325756.0,384798.0,80850.0
OR,1,22.5,31.5,36.8,2.5,98.38461538461539,237.53846153846155,72.0,2781.0,0.0,35276055.0,82063909.0,325755176.0,93942789.0,86241609.0,38484187.0,42384715.0,43533014.0,13503930.0,5223447.0,1794969.0,411808.0,234708.0
PA,1,24.7,31.0,35.1,132.58333333333334,2037.3846153846155,2718.3076923076924,5980.666666666667,215806.15384615384,6071.2307692307695,99917464.0,258680216.0,1066496442.0,290085790.0,275596542.0,129287490.0,160277476.0,146232130.0,42123648.0,14956056.0,6531216.0,1013354.0,392740.0
RI,1,24.5,27.6,34.4,11.833333333333334,264.3076923076923,301.9230769230769,2882.3333333333335,66569.30769230769,2168.923076923077,7939900.0,21664920.0,93043870.0,25045502.0,25612408.0,11236958.0,13393058.0,12997426.0,3791144.0,685666.0,179050.0,51546.0,51112.0
SD,1,17.5,22.1,25.6,1.25,15.384615384615385,67.23076923076923,413.0833333333333,16862.53846153846,428.9230769230769,6064004.0,18638576.0,80072713.0,21609105.0,21071384.0,9721679.0,10616796.0,9691135.0,4284947.0,2036905.0,871176.0,122604.0,46982.0
TN,1,22.2,28.2,33.4,4.666666666666667,194.69230769230768,549.1538461538462,543.0,12226.714285714286,0.0,43736242.0,145824038.0,597207978.0,138385162.0,155170670.0,76314484.0,93765808.0,90594666.0,28407554.0,9238680.0,3997654.0,1074370.0,258930.0
TX,1,24.4,29.7,34.9,28.75,739.3846153846154,1658.3846153846155,952.0833333333334,27443.30769230769,0.0,182088550.0,621563110.0,2239638645.0,573223709.0,573920168.0,265850751.0,323985065.0,325485584.0,115348763.0,39817840.0,17282056.0,3553049.0,1171660.0
VT,1,20.7,30.6,33.9,0.75,48.15384615384615,27.307692307692307,473.0,16864.153846153848,0.0,4848134.0,12688238.0,59408796.0,13553334.0,15872554.0,7932968.0,8625308.0,9119154.0,3247794.0,788684.0,198532.0,33598.0,36870.0
VA,1,21.5,28.5,33.7,28.416666666666668,534.1538461538462,1455.923076923077,727.5,14729.384615384615,0.0,61633948.0,176861232.0,751875928.0,193142700.0,191702908.0,93382606.0,113868608.0,108367552.0,34963162.0,11186864.0,4140722.0,753402.0,367404.0
WA,1,22.1,30.6,35.0,15.583333333333334,766.1538461538462,450.61538461538464,4145.083333333333,199342.46153846153,4159.923076923077,61292997.0,149703551.0,567902301.0,161385351.0,147905240.0,65124938.0,80177669.0,77044305.0,24338160.0,7721905.0,3084541.0,592638.0,527554.0
WV,1,23.4,28.8,34.3,1.75,40.23076923076923,87.84615384615384,4488.0,26801.846153846152,0.0,13709390.0,36853906.0,149642038.0,34351492.0,39573940.0,19375342.0,23164902.0,21476804.0,7724498.0,2789572.0,991044.0,146924.0,47520.0
WI,1,22.0,27.1,31.1,8.0,304.2307692307692,344.7692307692308,292.8333333333333,6730.0,0.0,40951350.0,121828554.0,487274762.0,120219768.0,118938514.0,57509170.0,72908896.0,75292034.0,27689698.0,9761880.0,4090132.0,677486.0,187184.0
WY,1,18.9,24.9,31.0,0.0,7.0,14.166666666666666,972.0,5541.076923076923,0.0,4491714.0,11684922.0,54827918.0,15606658.0,15497236.0,6953782.0,5693654.0,4683790.0,3658604.0,1858398.0,756752.0,91344.0,27700.0
AL,2,22.5,27.2,30.6,14.833333333333334,389.1666666666667,471.8333333333333,3950.3333333333335,125144.0,0.0,12518712.0,55911482.0,213115136.0,47287624.0,52528342.0,28628884.0,34674118.0,32772500.0,11236974.0,4062186.0,1531302.0,339580.0,53626.0
AK,2,25.1,27.4,35.7,0.0,10.0,10.166666666666666,1051.0,27044.666666666668,0.0,2979499.0,7321196.0,31011608.0,9546891.0,8575874.0,3858702.0,4284952.0,2886467.0,1276036.0,428570.0,91900.0,16856.0,45360.0
AZ,2,25.3,34.2,38.4,22.666666666666668,523.1666666666666,738.3333333333334,5184.166666666667,108842.0,5184.166666666667,26676570.0,73726474.0,267387086.0,75583892.0,64091446.0,30822132.0,37530894.0,39147862.0,12697512.0,4381800.0,2528432.0,414210.0,188906.0
AR,2,24.5,29.1,33.0,1.6666666666666667,90.0,64.5,1906.8333333333333,65753.16666666667,0.0,8067362.0,34126188.0,130093960.0,30603600.0,33637572.0,16467522.0,20042094.0,18631242.0,6662136.0,2693762.0,1101262.0,219100.0,35670.0
CA,2,22.8,31.4,34.4,72.5,2688.1666666666665,4543.333333333333,37389.0,935274.5,0.0,152106388.0,401692242.0,1327862445.0,351065239.0,342658322.0,150932510.0,183519446.0,187018367.0,73443611.0,26842654.0,9578248.0,2031006.0,773042.0
