State,Period,Depression_Score,Anxiety_Score,Mix_Score,deathIncrease,death,hospitalizedCurrently,positiveCasesIncrease,positiveCasesViral,totalTestsPeopleViralIncrease,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
MA,5,20.3,26.7,29.9,89.66666666666667,6848.666666666667,1872.5,10812.0,748615.0,10048.333333333334,25488306.0,71141780.0,387815024.0,112756418.0,101191434.0,44652216.0,53010676.0,51726324.0,18013412.0,4991576.0,991570.0,210894.0,270504.0
MI,5,25.9,29.0,34.5,23.666666666666668,5810.166666666667,755.0,15939.666666666666,637220.8333333334,0.0,32834984.0,107107826.0,463808054.0,126628522.0,111499962.0,53931474.0,68268754.0,67299304.0,23493334.0,8315266.0,3528974.0,623494.0,218970.0
MN,5,19.1,27.5,30.0,23.333333333333332,1035.1666666666667,571.3333333333334,398.0,26391.333333333332,0.0,17942498.0,60614008.0,251250586.0,68222200.0,58264142.0,26984824.0,34355004.0,39834666.0,14543446.0,5677910.0,2784710.0,428944.0,154740.0
MS,5,28.6,33.8,38.7,16.166666666666668,727.6666666666666,584.8333333333334,5261.5,168146.83333333334,0.0,7006580.0,34804840.0,129816758.0,30259228.0,32883990.0,15620158.0,20165524.0,18922060.0,7149412.0,2997038.0,1456918.0,321552.0,40878.0
MO,5,24.5,30.1,33.7,14.5,757.3333333333334,680.1666666666666,3585.1666666666665,191785.0,6642.833333333333,19455506.0,66314822.0,276945612.0,70701094.0,68484542.0,31973100.0,40754058.0,41075778.0,15090262.0,5219198.0,2942010.0,557360.0,148210.0
MT,5,20.5,22.6,28.6,0.0,17.0,1.6666666666666667,1094.8333333333333,39545.5,0.0,3620512.0,11250219.0,46204136.0,13440452.0,12548338.0,5023936.0,5591025.0,5019537.0,2407832.0,1376079.0,621057.0,118894.0,56986.0
NV,5,20.2,30.3,34.2,6.0,440.0,373.8333333333333,4584.5,163118.5,3880.6666666666665,11672820.0,30808668.0,116942062.0,35586572.0,27715796.0,13539350.0,18084464.0,15922160.0,2834582.0,1487084.0,1358114.0,287334.0,126606.0
NH,5,22.6,26.7,31.8,5.166666666666667,237.5,103.5,2038.3333333333333,78044.0,1685.3333333333333,3957104.0,15033308.0,73553346.0,17316082.0,17788846.0,8749446.0,10990826.0,11966872.0,4880278.0,1573640.0,246092.0,22654.0,18610.0
NJ,5,25.8,31.8,36.5,75.5,13338.0,2577.1666666666665,26225.333333333332,751026.8333333334,0.0,33484666.0,91234614.0,434258852.0,133548198.0,108769888.0,47478952.0,57894400.0,56277068.0,20326484.0,7098430.0,2219690.0,448392.0,197350.0
NM,5,24.3,37.1,39.5,6.333333333333333,352.5,188.83333333333334,4549.0,195968.0,0.0,6764790.0,22571202.0,106804152.0,29497218.0,28354916.0,12996152.0,14878108.0,11704670.0,4782306.0,2801474.0,1364336.0,358890.0,66082.0
NY,5,24.5,29.8,34.8,63.333333333333336,23872.833333333332,3549.6666666666665,1345.8333333333333,370033.0,0.0,85841612.0,187749314.0,1004542964.0,314986856.0,250264938.0,115168950.0,142268548.0,127380818.0,35833512.0,12472744.0,4729610.0,914120.0,522868.0
NC,5,22.3,29.6,33.0,21.166666666666668,878.0,673.5,11794.166666666666,407283.0,0.0,30424350.0,114946330.0,481433828.0,111628504.0,119057020.0,60361560.0,76723742.0,73940608.0,24759456.0,8715842.0,4966338.0,1079312.0,201446.0
ND,5,19.3,18.4,26.0,1.6666666666666667,49.333333333333336,35.0,2328.3333333333335,93175.16666666667,1001.3333333333334,2277380.0,8363698.0,33838574.0,9685836.0,9054772.0,4207570.0,4140838.0,3327892.0,1613034.0,1141930.0,528122.0,97962.0,40618.0
OH,5,28.1,29.6,37.0,35.666666666666664,2166.1666666666665,781.3333333333334,9995.5,383130.6666666667,0.0,36681872.0,126970316.0,557873538.0,148942146.0,136806976.0,66510484.0,83997464.0,83072778.0,25320182.0,8550640.0,3662050.0,722742.0,288076.0
OK,5,31.8,31.7,38.6,2.8333333333333335,332.6666666666667,154.5,4379.0,193650.16666666666,0.0,11503718.0,43699388.0,175949482.0,44674286.0,44362332.0,20822604.0,25847290.0,26205926.0,8514372.0,3581538.0,1624120.0,260608.0,56406.0
OR,5,27.6,35.3,39.5,1.5,153.16666666666666,127.0,2865.5,127253.66666666667,2865.5,15885098.0,42784884.0,175381704.0,52917056.0,44329278.0,19848026.0,22287192.0,23155884.0,7587230.0,3411718.0,1370758.0,304900.0,169662.0
PA,5,24.6,31.4,35.1,67.0,5527.166666666667,1371.5,8786.666666666666,447637.6666666667,8786.666666666666,44029030.0,135269810.0,585662266.0,165160786.0,145043244.0,67978336.0,85116088.0,80678612.0,25529646.0,10181236.0,5089792.0,677892.0,206634.0
RI,5,22.3,30.8,34.0,12.833333333333334,708.5,208.16666666666666,3360.1666666666665,162166.33333333334,1450.6666666666667,3433824.0,11368586.0,53096736.0,15462228.0,13940766.0,6189014.0,7454428.0,7070460.0,2219204.0,593608.0,115348.0,29482.0,22198.0
SC,5,28.8,29.2,35.6,5.833333333333333,489.1666666666667,410.0,7315.5,203948.33333333334,0.0,13762144.0,57415634.0,241886526.0,58471234.0,60573638.0,30138378.0,38034238.0,36401934.0,11271766.0,4023628.0,2400412.0,468032.0,103266.0
SD,5,20.0,26.3,29.7,1.3333333333333333,60.166666666666664,92.5,1473.3333333333333,43213.5,1473.3333333333333,2574680.0,9776610.0,42719722.0,11388640.0,10922436.0,5108878.0,5839132.0,5200076.0,2331040.0,1198974.0,595928.0,108830.0,25788.0
TN,5,22.9,30.4,33.6,4.666666666666667,365.3333333333333,516.6666666666666,8751.0,435268.0,8751.0,18662360.0,76117780.0,326735234.0,78371004.0,81156742.0,40433886.0,50743310.0,50130598.0,16081482.0,5717758.0,3101550.0,829518.0,169386.0
TX,5,26.2,31.1,36.9,22.666666666666668,1650.1666666666667,1726.3333333333333,21758.333333333332,933855.0,0.0,79355716.0,322470114.0,1194657784.0,309732750.0,296591782.0,139907268.0,173263276.0,175574434.0,62895946.0,22624370.0,10892816.0,2468474.0,706668.0
UT,5,22.3,29.7,34.5,1.3333333333333333,110.66666666666667,146.33333333333334,4501.333333333333,241103.16666666666,3570.5,10578968.0,33676502.0,153728034.0,42152092.0,39094944.0,18768698.0,21689440.0,19191252.0,7454788.0,2733688.0,1905828.0,540302.0,197002.0
VT,5,23.5,31.8,35.3,0.16666666666666666,55.0,15.333333333333334,1167.0,38464.833333333336,936.6666666666666,1970164.0,6798022.0,34554678.0,8274614.0,8913388.0,4601442.0,4941328.0,5200422.0,1887732.0,541310.0,158668.0,23048.0,12726.0
VA,5,21.4,28.3,31.4,21.0,1373.3333333333333,1448.0,965.5,41869.0,0.0,27570640.0,91676950.0,406404412.0,109152524.0,98949398.0,48477412.0,59839216.0,58280396.0,19769426.0,7532286.0,3642440.0,583624.0,177690.0
WA,5,27.1,31.7,36.7,7.666666666666667,1112.0,284.0,4811.833333333333,337815.8333333333,4811.833333333333,27412074.0,78086200.0,309835678.0,92729316.0,76124080.0,33852690.0,42301534.0,42698494.0,14445752.0,4828840.0,2029910.0,402812.0,422250.0
WV,5,26.2,33.6,38.9,0.5,75.0,32.666666666666664,2306.1666666666665,96542.16666666667,0.0,5830684.0,19450964.0,85642592.0,21029556.0,21902770.0,10691384.0,12956516.0,11962552.0,4458914.0,1767042.0,739766.0,115282.0,18810.0
WI,5,17.7,22.7,26.7,11.333333333333334,583.3333333333334,407.5,9265.5,262238.3333333333,9265.5,17573454.0,63816498.0,264938484.0,66611618.0,63603614.0,31073196.0,39073870.0,40093142.0,15115890.0,5957308.0,2807868.0,505208.0,96770.0
WY,5,25.2,25.3,32.9,0.6666666666666666,16.0,11.5,705.3333333333334,24033.833333333332,0.0,1853558.0,6234760.0,30455482.0,8793098.0,8228998.0,3874634.0,2949910.0,2658552.0,2106692.0,1173202.0,566314.0,81422.0,22660.0
AL,6,27.7,33.7,36.9,12.666666666666666,692.8333333333334,565.8333333333334,6015.166666666667,250936.66666666666,0.0,11853148.0,56577046.0,208950747.0,46304442.0,51007896.0,27716173.0,33849395.0,32261874.0,11111580.0,4234993.0,1957168.0,426679.0,80547.0
AK,6,21.5,26.2,35.2,0.16666666666666666,10.166666666666666,9.0,1451.3333333333333,63782.333333333336,0.0,2741191.0,7578713.0,30984539.0,8852750.0,8408685.0,4007030.0,4225914.0,3204136.0,1492186.0,530615.0,145626.0,40804.0,76793.0
AZ,6,26.5,30.8,36.8,14.833333333333334,1035.1666666666667,1225.3333333333333,8114.666666666667,274696.8333333333,8114.666666666667,24373542.0,76029502.0,273682435.0,75279937.0,64506025.0,31205234.0,39384803.0,41512003.0,13427142.0,4565069.0,2973494.0,571462.0,257266.0
AR,6,26.5,31.6,38.2,3.1666666666666665,153.0,154.66666666666666,4673.333333333333,157697.16666666666,0.0,7259296.0,34934254.0,133877229.0,31974340.0,33971841.0,16454313.0,20567568.0,19077784.0,7036389.0,3023586.0,1437097.0,286212.0,48099.0
CA,6,28.6,33.7,39.7,56.0,4573.666666666667,4536.666666666667,59158.5,2334847.8333333335,0.0,139887667.0,413910963.0,1353380368.0,352886118.0,337800838.0,153356420.0,187538606.0,194290027.0,80238199.0,31451474.0,12232827.0,2558818.0,1027041.0
CO,6,23.9,30.9,34.7,9.666666666666666,1280.1666666666667,308.0,4806.166666666667,212493.83333333334,4806.166666666667,19024872.0,60713024.0,293092856.0,80834189.0,71978092.0,33872880.0,42458571.0,41732269.0,12901446.0,5581552.0,2693277.0,636623.0,403957.0
CT,6,20.7,27.7,32.8,18.0,4058.6666666666665,334.3333333333333,6043.0,295862.6666666667,6043.0,11356544.0,38660766.0,168819439.0,44568699.0,44534659.0,20256387.0,23783466.0,23611500.0,8269036.0,2723308.0,723472.0,141407.0,207505.0
DE,6,25.3,28.5,33.0,2.8333333333333335,487.1666666666667,118.5,972.1666666666666,68328.33333333333,972.1666666666666,2956528.0,10583866.0,47052286.0,12305298.0,11797809.0,5798778.0,7073745.0,6458756.0,2475118.0,875840.0,243949.0,13024.0,9969.0
DC,6,25.9,33.0,39.5,3.6666666666666665,484.6666666666667,272.1666666666667,943.6666666666666,43859.833333333336,943.6666666666666,3379852.0,6454518.0,38366408.0,15211640.0,9416624.0,4863040.0,4926370.0,2836050.0,769768.0,183322.0,93696.0,32838.0,33060.0
GA,6,25.6,32.7,35.7,27.0,2194.6666666666665,803.5,11468.166666666666,526290.5,0.0,30149960.0,117122690.0,472409668.0,112272203.0,114774226.0,57664558.0,74738670.0,70427013.0,26261642.0,9011809.0,5351221.0,1450428.0,457898.0
ID,6,19.2,28.6,32.0,0.0,83.0,25.333333333333332,1451.1666666666667,54444.333333333336,1451.1666666666667,5391287.0,19167625.0,73012835.0,19349035.0,19028600.0,8612007.0,10431606.0,9269195.0,3525375.0,1559793.0,946507.0,219268.0,71449.0
IL,6,27.9,34.2,39.5,95.83333333333333,5932.833333333333,2712.6666666666665,20001.166666666668,1030973.0,20001.166666666668,41125020.0,137250100.0,627126591.0,175272548.0,154471186.0,72840323.0,89412267.0,87779718.0,31556287.0,9334651.0,4767798.0,1180878.0,510935.0
IN,6,22.2,28.7,32.1,22.0,2289.8333333333335,916.1666666666666,7474.0,382454.6666666667,6262.5,19068064.0,74618228.0,331952490.0,84543220.0,82783932.0,40708789.0,49999447.0,48054583.0,16483413.0,5891051.0,2676773.0,582643.0,228639.0
IA,6,25.7,31.9,34.9,8.333333333333334,601.6666666666666,282.8333333333333,5546.333333333333,186641.5,5546.333333333333,9121057.0,35064973.0,154669155.0,40193717.0,39684505.0,17601110.0,21103742.0,21716350.0,8526177.0,3604461.0,1799780.0,350082.0,89231.0
KY,6,25.5,33.0,37.6,4.5,468.8333333333333,504.0,4575.0,247992.16666666666,0.0,13074520.0,49483108.0,226587096.0,52735477.0,57272901.0,29541801.0,35836352.0,32710802.0,11357997.0,4453951.0,2140654.0,406594.0,130567.0
LA,6,28.4,32.5,36.5,14.5,2926.1666666666665,587.3333333333334,8596.833333333334,431729.3333333333,8596.833333333334,12863632.0,52376060.0,222767944.0,55619416.0,56806990.0,28411365.0,35105848.0,29500887.0,10386507.0,4507789.0,1944517.0,356092.0,128533.0
ME,6,20.6,31.5,35.4,0.8333333333333334,98.16666666666667,34.166666666666664,1306.3333333333333,59902.166666666664,0.0,4116033.0,14621623.0,64092444.0,14372871.0,15572838.0,8002337.0,9964334.0,10459811.0,3887478.0,1251550.0,466643.0,51220.0,63362.0
MD,6,18.4,22.8,26.9,24.166666666666668,2741.0,1030.5,10449.0,414616.8333333333,8409.5,19521718.0,65076334.0,279324664.0,76137899.0,65896510.0,31936404.0,41605102.0,41871357.0,15170629.0,4407560.0,1763828.0,349312.0,186063.0
MA,6,21.8,26.1,31.0,42.666666666666664,7300.333333333333,1492.1666666666667,10514.833333333334,823843.6666666666,7320.833333333333,24614258.0,72015828.0,382194218.0,108211131.0,100365106.0,44612215.0,52917185.0,51195090.0,17942845.0,5170523.0,1113473.0,238863.0,427787.0
MI,6,19.1,24.6,28.1,11.166666666666666,5924.333333333333,714.0,13256.0,737563.8333333334,0.0,30651309.0,109291501.0,466774425.0,123687898.0,111873233.0,55279097.0,69733228.0,69151585.0,23869664.0,8427199.0,3689133.0,718890.0,344498.0
MN,6,19.7,27.5,31.0,21.833333333333332,1183.1666666666667,470.0,329.5,29020.166666666668,0.0,16992525.0,61563981.0,253315518.0,66478913.0,58802069.0,27585605.0,35178499.0,40892291.0,14855562.0,5900707.0,2914011.0,488710.0,219151.0
MS,6,29.6,31.9,38.4,9.166666666666666,815.1666666666666,603.6666666666666,3959.0,198276.0,0.0,6921696.0,34889724.0,127400599.0,29102926.0,32090465.0,15592404.0,19865027.0,18770587.0,7185078.0,2968346.0,1440695.0,325421.0,59650.0
MO,6,23.1,23.2,29.5,9.0,810.3333333333334,622.0,9852.333333333334,259049.33333333334,5762.833333333333,18537941.0,67232387.0,275433787.0,68235738.0,67626368.0,31970332.0,40944204.0,41947541.0,15483434.0,5402204.0,3002359.0,616864.0,204743.0
MT,6,17.5,26.4,30.4,0.16666666666666666,17.833333333333332,2.0,1622.6666666666667,48239.666666666664,0.0,3543067.0,11329203.0,45727615.0,13025605.0,12247209.0,5109397.0,5593875.0,5001458.0,2437334.0,1445294.0,679797.0,127593.0,60053.0
NE,6,21.7,23.5,31.0,1.1666666666666667,187.16666666666666,181.83333333333334,2869.8333333333335,140456.83333333334,2121.8333333333335,5622950.0,21386802.0,90423108.0,23512912.0,23345816.0,11012097.0,13168725.0,11537591.0,4234823.0,2208660.0,1130456.0,202039.0,69989.0
NV,6,27.6,33.3,38.5,2.8333333333333335,464.8333333333333,348.3333333333333,5191.5,198838.0,4561.166666666667,10856826.0,31624662.0,121637990.0,36997292.0,28682877.0,14262711.0,18838329.0,16456778.0,2990210.0,1538444.0,1402379.0,324667.0,144303.0
NH,6,26.2,31.7,35.1,5.0,279.3333333333333,84.33333333333333,2658.6666666666665,95826.5,1897.3333333333333,3807103.0,15183309.0,72760127.0,16680542.0,17707869.0,8682269.0,11006235.0,11916195.0,4918677.0,1529478.0,262066.0,28061.0,28735.0
NJ,6,21.8,30.7,33.8,73.0,13868.0,1867.6666666666667,25346.166666666668,940774.5,0.0,31835957.0,92883323.0,439657284.0,132904110.0,110596300.0,48526749.0,59252818.0,57031238.0,20650373.0,7476423.0,2435853.0,479658.0,303762.0
NM,6,23.7,28.6,34.7,4.833333333333333,393.6666666666667,179.0,4776.833333333333,231062.83333333334,0.0,6444062.0,22891930.0,109062123.0,29936794.0,29023472.0,13270285.0,15246916.0,11843087.0,4875664.0,2942648.0,1502294.0,347464.0,73499.0
NY,6,28.5,36.3,38.6,44.833333333333336,24237.666666666668,2553.6666666666665,899.5,377505.8333333333,0.0,82026174.0,191564752.0,1012423688.0,309944413.0,253045326.0,117490320.0,145938251.0,130180761.0,36762197.0,12539592.0,4737100.0,998690.0,787038.0
NC,6,21.6,33.3,36.2,15.0,991.5,715.5,14408.0,502474.8333333333,0.0,29137619.0,116233061.0,479153896.0,107798860.0,117797694.0,60725245.0,77873876.0,74565230.0,24988279.0,8958324.0,5020892.0,1136733.0,288763.0
ND,6,14.7,20.2,23.0,1.8333333333333333,60.333333333333336,30.0,2594.8333333333335,111596.83333333333,1048.6666666666667,2191498.0,8449580.0,33773350.0,9226805.0,9012642.0,4282741.0,4180450.0,3448731.0,1704623.0,1212849.0,563503.0,103758.0,37248.0
OH,6,26.4,30.6,36.9,20.333333333333332,2377.6666666666665,646.3333333333334,10677.0,460302.3333333333,0.0,34893557.0,128758631.0,553679044.0,143633386.0,135840951.0,66725262.0,84724449.0,83786267.0,25421735.0,8679874.0,3644547.0,837590.0,384983.0
OK,6,24.7,28.9,33.7,2.0,347.0,155.66666666666666,4407.5,222769.66666666666,0.0,11003329.0,44199777.0,178511307.0,45111137.0,44595135.0,21238095.0,26255221.0,26848589.0,8757237.0,3649908.0,1698629.0,288442.0,68914.0
OR,6,27.1,35.0,40.5,1.6666666666666667,163.33333333333334,128.16666666666666,2820.1666666666665,146171.0,2820.1666666666665,15048284.0,43621698.0,178659150.0,52010586.0,45364643.0,20566686.0,23559546.0,23957215.0,7853240.0,3450482.0,1432955.0,298749.0,165048.0
PA,6,24.7,29.2,33.9,45.5,5924.0,1150.3333333333333,10136.0,511638.1666666667,10136.0,41646637.0,137652203.0,592575822.0,163318215.0,146649642.0,70041765.0,87855021.0,82312983.0,25432644.0,10539459.0,5332056.0,784177.0,309860.0
RI,6,19.0,26.6,29.2,11.0,779.8333333333334,170.16666666666666,2916.6666666666665,185161.16666666666,1317.3333333333333,3276892.0,11525518.0,52964490.0,14750486.0,14098611.0,6359738.0,7530936.0,7136760.0,2340305.0,574494.0,114986.0,29071.0,29103.0
SC,6,25.0,23.7,31.4,8.333333333333334,546.5,480.6666666666667,4337.166666666667,245834.5,0.0,13170010.0,58007768.0,240814077.0,56996261.0,60090352.0,30285933.0,38290389.0,36561651.0,11397157.0,4091204.0,2431697.0,526652.0,142781.0
SD,6,21.2,25.6,29.8,1.0,65.33333333333333,88.5,1749.5,55913.5,1749.5,2408553.0,9942737.0,43412260.0,11362303.0,10963888.0,5198770.0,6019140.0,5303627.0,2451536.0,1309636.0,662760.0,108474.0,32126.0
TN,6,27.2,30.6,38.0,7.833333333333333,416.6666666666667,558.6666666666666,8403.0,495852.0,8403.0,17870898.0,76909242.0,323932814.0,75614725.0,79939197.0,40561051.0,51196529.0,50590669.0,16156866.0,5737783.0,3066433.0,842886.0,226675.0
TX,6,30.3,33.0,39.6,19.833333333333332,1814.5,1890.3333333333333,23431.166666666668,1093587.5,0.0,76304924.0,325520906.0,1197488921.0,302193258.0,297096352.0,141167559.0,176329147.0,179362310.0,63782960.0,22797755.0,11218344.0,2622221.0,919015.0
UT,6,25.3,28.0,34.1,1.6666666666666667,121.66666666666667,177.16666666666666,4946.833333333333,274029.6666666667,3902.3333333333335,10138236.0,34117234.0,153686640.0,40903151.0,38777211.0,19154199.0,22158184.0,19533473.0,7615076.0,2820693.0,2018522.0,524819.0,181312.0
VT,6,25.1,29.8,33.7,0.0,55.0,14.333333333333334,1312.8333333333333,46964.0,1172.1666666666667,1901757.0,6866429.0,34750594.0,8097104.0,9127793.0,4505737.0,5033372.0,5323646.0,1933110.0,521609.0,162678.0,23622.0,21923.0
VA,6,27.5,29.5,36.5,11.333333333333334,1467.1666666666667,1195.0,774.5,47602.333333333336,0.0,26200301.0,93047289.0,404129457.0,104984956.0,98004245.0,49012432.0,61096559.0,58746736.0,20013456.0,7548495.0,3798883.0,658901.0,264794.0
WA,6,21.4,29.4,31.9,5.333333333333333,1149.1666666666667,237.83333333333334,5838.333333333333,373664.6666666667,5838.333333333333,25830012.0,79668262.0,315533064.0,91392486.0,77735144.0,35547493.0,44089300.0,44068486.0,14792913.0,4928727.0,2180666.0,403061.0,394788.0
WV,6,27.9,35.8,38.9,1.0,83.0,26.333333333333332,2123.6666666666665,111350.66666666667,0.0,5552941.0,19728707.0,84523209.0,19923021.0,21655652.0,10703584.0,12963760.0,12108134.0,4444292.0,1794586.0,760720.0,133883.0,35577.0
WI,6,19.5,25.3,28.3,7.5,643.0,331.0,11567.833333333334,339954.0,11567.833333333334,16594993.0,64794959.0,268307613.0,66258192.0,64016985.0,31528805.0,40292084.0,41058503.0,15398881.0,6119126.0,2957897.0,534998.0,142142.0
WY,6,20.9,21.3,29.4,0.0,17.0,5.166666666666667,618.3333333333334,28483.0,0.0,1769657.0,6318661.0,30954539.0,8854546.0,8297027.0,3827846.0,3024686.0,2734430.0,2221131.0,1251571.0,634249.0,81655.0,27398.0
AL,7,26.7,33.9,38.1,6.833333333333333,771.5,622.3333333333334,5390.333333333333,293623.3333333333,0.0,11689816.0,56740378.0,215827448.0,48976076.0,52131572.0,28598314.0,34670634.0,32871272.0,11455624.0,4544900.0,2031410.0,469700.0,77946.0
AK,7,23.5,33.3,36.5,0.16666666666666666,11.833333333333334,16.5,1415.8333333333333,72635.5,0.0,2867516.0,7452388.0,30452421.0,8994376.0,8169370.0,3794994.0,4086313.0,3186967.0,1484671.0,509785.0,131409.0,29849.0,64687.0
AZ,7,25.0,25.6,33.3,20.666666666666668,1175.5,1408.5,9050.666666666666,332470.3333333333,9050.666666666666,25295464.0,75107580.0,268926278.0,76177996.0,61429494.0,30078974.0,38499426.0,40633822.0,13177338.0,4821994.0,3193368.0,632694.0,281172.0
AR,7,29.6,33.7,39.0,2.8333333333333335,177.66666666666666,202.83333333333334,4845.833333333333,192035.33333333334,0.0,7295658.0,34897892.0,135971692.0,33153354.0,34241228.0,16739534.0,20622516.0,19189474.0,7059210.0,3147660.0,1482844.0,283042.0,52830.0
CA,7,27.2,33.7,37.9,57.5,5014.333333333333,4409.5,66159.5,2765371.8333333335,0.0,142682524.0,411116106.0,1316387558.0,347487484.0,320967776.0,147567360.0,182714420.0,190301198.0,78754690.0,31747552.0,12955010.0,2942192.0,949876.0
CO,7,22.1,29.8,33.5,7.5,1354.8333333333333,276.1666666666667,4376.5,243546.5,4376.5,19616834.0,60121062.0,289947576.0,81231850.0,69956000.0,33024822.0,41712614.0,41282844.0,12956534.0,5737292.0,2966300.0,709762.0,369558.0
CT,7,25.5,35.1,38.7,15.0,4184.333333333333,222.0,7412.0,341976.0,-52502.333333333336,11474622.0,38542688.0,172579476.0,46580366.0,44952286.0,20759002.0,24227454.0,23885156.0,8283370.0,2894612.0,684516.0,152052.0,160662.0
DE,7,24.4,30.2,34.7,1.0,496.0,95.0,2388.1666666666665,80728.83333333333,2388.1666666666665,3081148.0,10459246.0,46006170.0,12187322.0,11505148.0,5661606.0,6886216.0,6307118.0,2350622.0,846722.0,238292.0,14090.0,9034.0
DC,7,16.3,25.9,28.9,3.5,511.5,202.66666666666666,1051.6666666666667,50632.666666666664,1051.6666666666667,3452156.0,6382214.0,38776144.0,15440532.0,9486576.0,5018542.0,4961958.0,2865154.0,705654.0,174850.0,60644.0,27318.0,34916.0
GA,7,25.7,33.3,37.1,33.333333333333336,2452.1666666666665,842.8333333333334,10597.166666666666,605336.5,0.0,30247392.0,117025258.0,480629440.0,117451704.0,115189064.0,58260826.0,75100938.0,70759408.0,26700698.0,9464414.0,5685698.0,1539728.0,476962.0
ID,7,14.3,26.0,27.8,0.5,86.66666666666667,23.5,1093.3333333333333,62305.666666666664,1093.3333333333333,5579480.0,18979432.0,71098442.0,18974400.0,18338190.0,8198628.0,10098550.0,9075330.0,3492226.0,1621886.0,1011902.0,217432.0,69898.0
IL,7,24.8,31.0,34.6,51.0,6474.833333333333,2084.1666666666665,21389.833333333332,1177885.1666666667,-183333.66666666666,41416020.0,136959100.0,640914300.0,184033020.0,155330770.0,73620340.0,90481946.0,88721720.0,32017270.0,9944708.0,5059498.0,1225738.0,479290.0
IN,7,26.6,33.8,39.3,15.333333333333334,2415.1666666666665,879.1666666666666,9789.666666666666,444618.5,7275.166666666667,19149500.0,74536792.0,341339438.0,89426592.0,83983222.0,41383954.0,50756254.0,48982472.0,16970440.0,6237472.0,2750330.0,636198.0,212504.0
IA,7,22.4,26.1,31.6,6.5,651.3333333333334,210.0,4697.166666666667,221205.0,4697.166666666667,9499728.0,34686302.0,157250146.0,42605226.0,40092596.0,17652020.0,20904216.0,21293892.0,8573360.0,3811402.0,1870750.0,365206.0,81478.0
KY,7,22.6,26.6,31.9,4.666666666666667,500.1666666666667,437.6666666666667,3432.1666666666665,290055.3333333333,0.0,13145398.0,49412230.0,230894486.0,55976714.0,57525842.0,29513174.0,35845126.0,32968746.0,11529008.0,4663402.0,2338260.0,415080.0,119134.0
LA,7,34.5,38.4,43.5,12.333333333333334,3010.1666666666665,559.3333333333334,12099.5,502394.0,12099.5,12313282.0,52926410.0,232440392.0,59124798.0,57799120.0,29421350.0,36615462.0,30896338.0,11033624.0,4946466.0,2131204.0,348610.0,123420.0
ME,7,23.7,32.2,37.9,0.16666666666666666,100.33333333333333,30.0,1409.3333333333333,69693.5,0.0,4182152.0,14555504.0,65210524.0,14904802.0,15677692.0,8032248.0,10071728.0,10679650.0,3936434.0,1354828.0,459412.0,55110.0,38620.0
MD,7,27.9,34.6,38.3,23.0,2928.1666666666665,795.8333333333334,9885.5,481794.1666666667,7430.5,19963594.0,64634458.0,280273532.0,78124158.0,65860848.0,31556408.0,41609884.0,41570314.0,14871614.0,4355388.0,1795840.0,358496.0,170582.0
MA,7,17.0,27.3,29.2,35.166666666666664,7590.333333333333,1097.0,10897.5,902755.1666666666,8524.0,24904100.0,71725986.0,389421198.0,112952796.0,100578568.0,45359020.0,53760004.0,52020814.0,17701558.0,5381864.0,1101622.0,234070.0,330882.0
MI,7,21.4,30.2,32.4,13.666666666666666,6009.166666666667,615.5,13379.666666666666,820797.1666666666,0.0,30700264.0,109242546.0,482649086.0,130391896.0,115031448.0,57096990.0,71964132.0,70420832.0,24299052.0,8641178.0,3786276.0,718450.0,298832.0
MN,7,19.9,28.0,30.5,12.833333333333334,1317.8333333333333,380.5,113.83333333333333,30565.333333333332,0.0,17911364.0,60645142.0,247882164.0,66276082.0,57018306.0,27081014.0,34119908.0,39129566.0,14439402.0,5971468.0,3150608.0,482484.0,213326.0
MS,7,24.8,31.6,37.5,7.833333333333333,889.8333333333334,674.1666666666666,4485.166666666667,221029.83333333334,0.0,6745552.0,35065868.0,133104282.0,31837770.0,32910396.0,15942666.0,20526954.0,19406496.0,7420044.0,3150126.0,1493684.0,358510.0,57636.0
MO,7,26.1,33.3,36.5,5.666666666666667,875.3333333333334,584.6666666666666,2426.5,275152.8333333333,5527.0,18691248.0,67079080.0,282769434.0,72313802.0,68556778.0,32689974.0,41671158.0,42193524.0,15584832.0,5690656.0,3243808.0,608232.0,216670.0
MT,7,21.8,30.6,34.2,0.16666666666666666,18.5,7.0,1493.5,59037.333333333336,0.0,3664092.0,11208178.0,43803790.0,12506254.0,11480542.0,4763662.0,5381800.0,4883172.0,2379754.0,1466086.0,744786.0,135652.0,62082.0
NE,7,20.3,24.1,29.7,4.833333333333333,212.5,162.0,3327.3333333333335,162405.5,2393.5,5843588.0,21166164.0,90976236.0,24530358.0,22982336.0,11027798.0,12998106.0,11431160.0,4259018.0,2309876.0,1144752.0,214492.0,78340.0
NV,7,30.4,33.5,37.9,1.8333333333333333,479.1666666666667,340.5,6618.666666666667,238597.5,5861.333333333333,11156010.0,31325478.0,118943346.0,36339686.0,27508756.0,13811904.0,18309524.0,16152012.0,3143242.0,1704776.0,1543758.0,304648.0,125040.0
