Period,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,State
1.0,929684.7857142857,2578731.2142857146,9834247.57142857,2622636.5714285714,2638841.0,1178952.5,1391510.785714286,1237588.2142857143,450737.64285714284,195900.92857142858,95451.0,17580.071428571428,5048.857142857143,ID
1.0,7248480.571428571,18233679.42857143,78966037.14285713,21699084.285714284,20090195.285714284,9266621.142857142,11233573.0,11035877.0,3826196.0,1067124.0,556655.7142857143,140901.0,49809.71428571429,IL
1.0,3397327.1428571427,9986428.857142856,42790208.14285714,10857724.57142857,11042061.285714285,5313872.142857143,6445594.428571429,6106360.714285715,2016835.7142857143,659841.1428571428,269855.0,58053.42857142857,20009.714285714286,IN
1.0,1550008.7142857143,4273001.285714285,18270029.714285713,4857953.142857143,4948017.214285715,2113604.5,2470063.5,2426194.9285714286,905727.642857143,344452.0,162448.2857142857,32238.214285714286,9330.285714285714,KS
1.0,2226191.3571428573,6710612.642857143,30029015.35714286,7157997.071428571,7781325.214285715,3911314.0,4726576.642857144,4282550.714285715,1408526.0714285714,499043.0714285714,214109.64285714284,36964.07142857143,10608.857142857143,KY
1.0,2057779.714285714,7262176.285714285,30944104.85714286,7772089.285714285,8057256.714285715,3960257.571428572,4852353.571428572,4071517.714285714,1418550.0,565537.4285714285,203974.42857142858,31476.857142857145,11091.285714285714,LA
1.0,4151876.5714285714,9652421.42857143,49399572.28571428,13704056.285714287,13485481.0,6045927.714285715,6989552.428571429,6549728.857142857,2000780.5714285714,478022.71428571426,87774.85714285714,21131.285714285714,37116.57142857143,MA
1.0,3290329.8571428573,8795106.142857142,36479403.71428572,9848611.57142857,9060888.0,4249552.285714285,5454345.571428571,5439407.0,1786015.1428571427,451827.85714285716,138479.0,33156.71428571429,17120.571428571428,MD
1.0,728136.7142857143,1948671.2857142857,8141896.714285715,1737774.4285714286,2058378.8571428573,1050017.5714285714,1288495.8571428573,1344758.142857143,475200.4285714285,141727.14285714284,36630.142857142855,4041.857142857143,4872.285714285714,ME
1.0,5569770.714285715,14422059.285714287,58974116.57142857,15687935.285714285,15037767.42857143,7140243.142857144,8823713.857142856,8309992.0,2666921.5714285714,856372.0,346836.85714285716,73254.28571428571,31080.142857142855,MI
1.0,2951925.1428571427,8270432.857142857,32968566.714285716,8773854.285714287,7883151.571428572,3665990.0,4561709.857142856,5210776.857142856,1850209.8571428573,664863.7142857143,298304.0,40946.71428571429,18759.85714285714,MN
1.0,3242758.5714285714,9010145.42857143,35574341.71428572,8820285.142857144,9050684.0,4197038.071428571,5274249.214285715,5296424.642857143,1908347.1428571427,634443.5714285715,316420.4285714285,58243.5,18206.0,MO
1.0,1152602.4285714286,4820457.571428571,17684428.0,4054155.8571428573,4593712.142857143,2192955.7142857146,2788483.8571428573,2583287.7142857146,933124.7142857143,355925.7142857143,143483.7142857143,33834.857142857145,5463.714285714286,MS
1.0,609409.7142857143,1514760.5714285714,6181380.857142857,1765792.7142857143,1693236.0714285714,688448.8571428572,789600.7857142857,695706.2857142857,312700.0,159939.2857142857,60686.071428571435,9518.0,5752.785714285714,MT
1.0,4863865.428571429,15903374.57142857,65862316.42857143,15085004.57142857,16913990.714285716,8521235.0,10575753.142857144,9994545.142857142,3213596.0,1015120.0,433471.2857142857,86155.14285714287,23445.428571428572,NC
1.0,388662.2142857143,1131437.2857142857,4381570.428571429,1179252.7142857143,1189081.1428571427,550427.9285714286,539410.7857142857,468276.0714285714,235741.5,148837.7142857143,58682.42857142857,9177.92857142857,2682.214285714286,ND
1.0,979830.0714285714,2878705.928571428,11999788.07142857,3195296.7857142854,3159051.7857142854,1481102.6428571427,1737484.9285714286,1514456.2142857143,530431.3571428572,249853.57142857142,107295.28571428571,18762.5,6053.0,NE
1.0,704424.8571428572,2008491.1428571427,8915544.0,2009639.857142857,2196866.8571428573,1088034.8571428573,1383909.0,1482723.5714285714,583485.4285714285,139839.57142857142,23674.285714285717,2902.857142857143,4467.714285714286,NH
1.0,5392256.428571428,12424783.57142857,56436962.57142857,16665201.857142858,14784963.714285715,6535334.285714285,7811373.714285715,7213339.571428572,2389503.4285714286,723201.0,235495.7142857143,52495.57142857143,26053.714285714286,NJ
1.0,1098455.8571428573,3092400.1428571427,14213693.357142858,3818097.0,3862518.3571428573,1765735.8571428573,2026783.7142857143,1573346.3571428573,634072.4285714286,349993.7857142857,148244.21428571426,28828.071428571428,6073.571428571428,NM
1.0,1782925.9285714286,4285858.071428571,16182640.5,4752677.785714285,4041721.928571428,1946323.8571428573,2419531.5,2179507.928571428,454000.5,206887.78571428574,145041.85714285716,26821.5,10125.857142857143,NV
1.0,13477106.285714287,25607311.714285716,131599666.57142857,39424878.85714286,33954029.57142857,15737688.714285713,19188031.85714286,16874711.42857143,4471689.714285715,1334310.7142857143,448040.0,93630.28571428571,72655.42857142858,NY
1.0,6129122.142857144,17249761.85714286,72070661.42857143,18844914.57142857,18242898.57142857,8752204.0,10889589.0,10763088.857142858,3143864.428571428,976398.2857142857,350463.5714285714,77779.71428571429,29460.428571428572,OH
1.0,1858500.714285714,6027657.285714285,23619349.571428575,5930708.142857144,6109225.857142857,2835252.5714285714,3463859.1428571427,3513196.8571428573,1126856.2857142857,440864.7142857143,166125.42857142858,27485.571428571428,5775.0,OK
1.0,2519718.2142857146,5861707.785714285,23268226.85714286,6710199.214285715,6160114.928571429,2748870.5,3027479.6428571427,3109501.0,964566.4285714286,373103.35714285716,128212.07142857142,29414.857142857145,16764.857142857145,OR
1.0,7136961.714285715,18477158.285714284,76178317.2857143,20720413.571428575,19685467.285714287,9234820.714285715,11448391.142857142,10445152.142857142,3008832.0,1068289.7142857143,466515.4285714286,72382.42857142858,28052.857142857145,PA
1.0,567135.7142857143,1547494.2857142857,6645990.714285715,1788964.4285714286,1829457.7142857143,802639.857142857,956647.0,928387.5714285714,270796.0,48976.142857142855,12789.285714285714,3681.857142857143,3650.857142857143,RI
1.0,2202750.7142857146,7965503.285714285,32869376.14285714,7731449.428571429,8481739.285714285,4193425.2857142854,5214720.428571429,4985224.142857143,1505648.4285714286,486179.14285714284,217849.14285714284,42904.28571428571,10236.57142857143,SC
1.0,433143.14285714284,1331326.8571428573,5719479.5,1543507.5,1505098.8571428573,694405.6428571428,758342.5714285715,692223.9285714286,306067.64285714284,145493.21428571426,62226.857142857145,8757.428571428572,3355.857142857143,SD
1.0,3124017.2857142854,10416002.714285715,42657712.71428572,9884654.42857143,11083619.285714287,5451034.571428571,6697557.714285715,6471047.571428571,2029111.0,659905.7142857143,285546.7142857143,76740.71428571429,18495.0,TN
1.0,13006325.0,44397365.0,159974188.92857143,40944550.64285714,40994297.71428572,18989339.35714286,23141790.35714286,23248970.285714284,8239197.357142857,2844131.4285714286,1234432.5714285714,253789.21428571426,83690.0,TX
1.0,1730383.1428571427,4591826.857142857,20662921.785714284,5761845.357142856,5279685.714285715,2581523.0714285714,2895732.6428571427,2573282.3571428573,948717.2857142857,336394.64285714284,228066.0,45682.28571428571,11992.428571428572,UT
1.0,4402424.857142857,12632945.142857142,53705423.42857143,13795907.142857142,13693064.857142858,6670186.142857143,8133472.0,7740539.428571429,2497368.7142857146,799061.7142857143,295765.85714285716,53814.428571428565,26243.14285714286,VA
1.0,346295.2857142857,906302.7142857143,4243485.428571429,968095.2857142857,1133753.8571428573,566640.5714285714,616093.4285714285,651368.142857143,231985.2857142857,56334.571428571435,14180.857142857143,2399.857142857143,2633.5714285714284,VT
1.0,4378071.214285715,10693110.785714285,40564450.07142857,11527525.07142857,10564660.0,4651781.285714285,5726976.357142857,5503164.642857144,1738440.0,551564.642857143,220324.35714285716,42331.28571428571,37682.42857142857,WA
1.0,2925096.4285714286,8702039.57142857,34805340.14285714,8587126.285714285,8495608.142857142,4107797.8571428573,5207778.285714285,5378002.428571429,1977835.5714285714,697277.1428571428,292152.2857142857,48391.857142857145,13370.285714285714,WI
1.0,979242.1428571428,2632421.8571428573,10688717.0,2453678.0,2826710.0,1383953.0,1654635.8571428573,1534057.4285714286,551749.857142857,199255.14285714287,70788.85714285714,10494.571428571428,3394.2857142857147,WV
1.0,320836.7142857143,834637.2857142857,3916279.8571428573,1114761.285714286,1106945.4285714286,496698.7142857143,406689.5714285714,334556.4285714286,261328.85714285716,132742.7142857143,54053.71428571429,6524.571428571428,1978.5714285714287,WY
2.0,425642.71428571426,1045885.1428571428,4430229.714285715,1363841.5714285714,1225124.857142857,551243.1428571428,612136.0,412352.4285714286,182290.85714285713,61224.28571428572,13128.57142857143,2408.0,6480.0,AK
2.0,1788387.4285714286,7987354.571428572,30445019.42857143,6755374.857142857,7504048.857142857,4089840.5714285714,4953445.428571428,4681785.714285715,1605282.0,580312.2857142857,218757.42857142858,48511.42857142857,7660.857142857143,AL
2.0,1152480.2857142857,4875169.714285715,18584851.42857143,4371942.857142857,4805367.428571428,2352503.1428571427,2863156.285714286,2661606.0,951733.7142857143,384823.14285714284,157323.14285714287,31300.0,5095.714285714285,AR
2.0,3810938.5714285714,10532353.42857143,38198155.14285714,10797698.857142856,9155920.857142856,4403161.714285715,5361556.285714285,5592551.714285715,1813930.2857142857,625971.4285714285,361204.5714285714,59172.857142857145,26986.571428571428,AZ
