State,Period,Depression_Score,Anxiety_Score,Mix_Score
Georgia,4,27.7,32.6,37.5
Hawaii,4,18.5,19.6,26.6
Idaho,4,18.9,22.1,24.8
Illinois,4,24.2,30.3,35.6
Indiana,4,24.8,30.5,35.2
Iowa,4,17.6,20.6,25.9
Kansas,4,25.2,30.1,33.2
Kentucky,4,23.2,30.8,34.7
Louisiana,4,31.1,36.0,41.4
Maine,4,18.5,24.5,27.8
Maryland,4,22.9,25.8,31.6
Massachusetts,4,20.3,25.5,29.5
Michigan,4,25.1,27.5,32.8
Minnesota,4,17.7,22.8,26.1
Mississippi,4,27.7,31.9,37.8
Missouri,4,24.3,29.0,32.9
Montana,4,22.2,24.3,30.7
Nebraska,4,17.2,22.6,28.1
Nevada,4,27.1,35.6,40.7
New Hampshire,4,22.2,24.6,31.1
New Jersey,4,22.9,26.2,31.1
New Mexico,4,28.7,35.4,39.1
New York,4,23.7,30.6,34.4
North Carolina,4,22.1,27.5,32.3
North Dakota,4,19.8,22.1,28.1
Ohio,4,27.4,29.8,34.6
Oklahoma,4,27.5,27.3,32.8
Oregon,4,24.2,32.1,35.3
Pennsylvania,4,25.9,28.0,33.9
Rhode Island,4,21.4,30.6,33.8
South Carolina,4,21.7,27.0,32.2
South Dakota,4,25.8,30.4,36.3
Tennessee,4,22.5,29.6,33.1
Texas,4,28.8,32.6,37.7
Utah,4,24.9,25.5,31.9
Vermont,4,19.4,23.3,28.8
Virginia,4,22.3,28.7,33.1
Washington,4,22.2,26.8,31.8
West Virginia,4,22.0,34.5,37.9
Wisconsin,4,20.8,24.7,28.9
Wyoming,4,18.8,24.0,28.3
Alabama,5,28.4,31.6,37.5
Alaska,5,24.4,26.1,31.6
Arizona,5,23.9,27.9,32.6
Arkansas,5,28.9,35.3,39.0
California,5,26.9,33.8,38.6
Colorado,5,23.9,29.4,33.6
Connecticut,5,25.4,26.7,35.1
Delaware,5,20.7,26.2,30.3
District of Columbia,5,21.3,28.2,33.0
Florida,5,29.6,33.8,40.0
Georgia,5,24.5,31.7,34.9
Hawaii,5,17.0,20.7,26.1
Idaho,5,23.8,28.3,31.8
Illinois,5,26.9,31.3,37.0
Indiana,5,25.6,31.5,36.2
Iowa,5,22.6,27.8,32.9
Kansas,5,23.1,28.3,32.0
Kentucky,5,28.5,33.3,39.0
Louisiana,5,26.8,31.0,36.3
Maine,5,18.5,25.2,29.3
Maryland,5,21.9,26.1,30.8
Massachusetts,5,20.3,26.7,29.9
Michigan,5,25.9,29.0,34.5
Minnesota,5,19.1,27.5,30.0
Mississippi,5,28.6,33.8,38.7
Missouri,5,24.5,30.1,33.7
Montana,5,20.5,22.6,28.6
Nebraska,5,18.2,22.2,26.6
Nevada,5,20.2,30.3,34.2
New Hampshire,5,22.6,26.7,31.8
New Jersey,5,25.8,31.8,36.5
New Mexico,5,24.3,37.1,39.5
New York,5,24.5,29.8,34.8
North Carolina,5,22.3,29.6,33.0
North Dakota,5,19.3,18.4,26.0
Ohio,5,28.1,29.6,37.0
Oklahoma,5,31.8,31.7,38.6
Oregon,5,27.6,35.3,39.5
Pennsylvania,5,24.6,31.4,35.1
Rhode Island,5,22.3,30.8,34.0
South Carolina,5,28.8,29.2,35.6
South Dakota,5,20.0,26.3,29.7
Tennessee,5,22.9,30.4,33.6
Texas,5,26.2,31.1,36.9
Utah,5,22.3,29.7,34.5
Vermont,5,23.5,31.8,35.3
Virginia,5,21.4,28.3,31.4
Washington,5,27.1,31.7,36.7
West Virginia,5,26.2,33.6,38.9
Wisconsin,5,17.7,22.7,26.7
Wyoming,5,25.2,25.3,32.9
Alabama,6,27.7,33.7,36.9
Alaska,6,21.5,26.2,35.2
Arizona,6,26.5,30.8,36.8
Arkansas,6,26.5,31.6,38.2
California,6,28.6,33.7,39.7
Colorado,6,23.9,30.9,34.7
Connecticut,6,20.7,27.7,32.8
Delaware,6,25.3,28.5,33.0
District of Columbia,6,25.9,33.0,39.5
Florida,6,30.2,34.8,40.7
Georgia,6,25.6,32.7,35.7
Hawaii,6,19.5,20.7,27.5
Idaho,6,19.2,28.6,32.0
Illinois,6,27.9,34.2,39.5
Indiana,6,22.2,28.7,32.1
Iowa,6,25.7,31.9,34.9
Kansas,6,28.6,29.9,36.6
Kentucky,6,25.5,33.0,37.6
Louisiana,6,28.4,32.5,36.5
Maine,6,20.6,31.5,35.4
Maryland,6,18.4,22.8,26.9
Massachusetts,6,21.8,26.1,31.0
Michigan,6,19.1,24.6,28.1
Minnesota,6,19.7,27.5,31.0
Mississippi,6,29.6,31.9,38.4
Missouri,6,23.1,23.2,29.5
Montana,6,17.5,26.4,30.4
Nebraska,6,21.7,23.5,31.0
Nevada,6,27.6,33.3,38.5
New Hampshire,6,26.2,31.7,35.1
New Jersey,6,21.8,30.7,33.8
New Mexico,6,23.7,28.6,34.7
New York,6,28.5,36.3,38.6
North Carolina,6,21.6,33.3,36.2
North Dakota,6,14.7,20.2,23.0
Ohio,6,26.4,30.6,36.9
Oklahoma,6,24.7,28.9,33.7
Oregon,6,27.1,35.0,40.5
Pennsylvania,6,24.7,29.2,33.9
Rhode Island,6,19.0,26.6,29.2
South Carolina,6,25.0,23.7,31.4
South Dakota,6,21.2,25.6,29.8
Tennessee,6,27.2,30.6,38.0
Texas,6,30.3,33.0,39.6
Utah,6,25.3,28.0,34.1
Vermont,6,25.1,29.8,33.7
Virginia,6,27.5,29.5,36.5
Washington,6,21.4,29.4,31.9
West Virginia,6,27.9,35.8,38.9
Wisconsin,6,19.5,25.3,28.3
Wyoming,6,20.9,21.3,29.4
Alabama,7,26.7,33.9,38.1
Alaska,7,23.5,33.3,36.5
Arizona,7,25.0,25.6,33.3
Arkansas,7,29.6,33.7,39.0
California,7,27.2,33.7,37.9
Colorado,7,22.1,29.8,33.5
Connecticut,7,25.5,35.1,38.7
Delaware,7,24.4,30.2,34.7
District of Columbia,7,16.3,25.9,28.9
Florida,7,28.1,37.4,41.8
Georgia,7,25.7,33.3,37.1
Hawaii,7,26.8,31.7,35.3
Idaho,7,14.3,26.0,27.8
Illinois,7,24.8,31.0,34.6
Indiana,7,26.6,33.8,39.3
Iowa,7,22.4,26.1,31.6
Kansas,7,24.6,30.5,37.1
Kentucky,7,22.6,26.6,31.9
Louisiana,7,34.5,38.4,43.5
Maine,7,23.7,32.2,37.9
Maryland,7,27.9,34.6,38.3
Massachusetts,7,17.0,27.3,29.2
Michigan,7,21.4,30.2,32.4
Minnesota,7,19.9,28.0,30.5
Mississippi,7,24.8,31.6,37.5
Missouri,7,26.1,33.3,36.5
Montana,7,21.8,30.6,34.2
Nebraska,7,20.3,24.1,29.7
Nevada,7,30.4,33.5,37.9
New Hampshire,7,21.7,28.1,33.4
New Jersey,7,26.9,33.5,38.7
New Mexico,7,18.8,22.7,25.5
New York,7,23.4,28.7,32.9
North Carolina,7,23.9,30.0,36.2
North Dakota,7,23.4,30.3,33.6
Ohio,7,26.8,31.5,35.6
Oklahoma,7,22.5,30.9,34.9
Oregon,7,31.1,39.8,43.5
Pennsylvania,7,25.5,28.4,35.0
Rhode Island,7,24.1,25.5,32.2
South Carolina,7,28.1,30.6,35.5
South Dakota,7,19.2,24.5,28.0
Tennessee,7,21.5,28.7,31.7
Texas,7,27.6,35.5,39.5
Utah,7,18.5,32.0,36.0
Vermont,7,26.2,33.0,36.3
Virginia,7,23.3,30.1,33.9
Washington,7,22.5,29.3,34.2
West Virginia,7,23.5,26.7,32.2
Wisconsin,7,17.5,23.5,26.5
Wyoming,7,18.9,24.2,32.6
Alabama,8,27.5,33.7,38.0
Alaska,8,25.7,31.8,37.1
Arizona,8,28.9,34.7,40.1
Arkansas,8,28.7,32.7,38.2
California,8,26.4,34.4,39.1
Colorado,8,23.0,26.7,31.4
Connecticut,8,28.7,34.5,39.4
Delaware,8,22.9,23.6,30.9
District of Columbia,8,31.0,39.6,43.1
Florida,8,28.8,33.3,39.7
Georgia,8,27.9,32.6,36.3
Hawaii,8,18.3,22.9,29.4
Idaho,8,23.0,28.3,31.7
Illinois,8,23.8,30.6,34.2
Indiana,8,23.7,30.6,35.9
Iowa,8,26.1,32.4,37.4
Kansas,8,24.4,29.4,32.9
Kentucky,8,29.0,33.2,38.3
Louisiana,8,35.6,41.3,46.8
Maine,8,19.0,24.1,28.7
Maryland,8,22.0,30.1,33.3
Massachusetts,8,22.8,27.9,33.7
Michigan,8,23.3,27.4,31.9
Minnesota,8,21.5,25.0,30.6
Mississippi,8,29.3,31.8,37.6
Missouri,8,25.0,28.3,32.9
Montana,8,21.6,27.8,30.9
Nebraska,8,22.1,25.0,31.2
Nevada,8,32.5,38.4,45.6
New Hampshire,8,23.0,31.2,34.4
New Jersey,8,24.4,30.8,34.1
New Mexico,8,29.4,39.0,42.5
New York,8,24.2,26.9,32.9
North Carolina,8,22.5,29.1,34.1
North Dakota,8,25.1,28.7,33.0
Ohio,8,21.5,27.7,31.6
Oklahoma,8,33.2,39.0,44.5
Oregon,8,31.0,37.1,42.4
Pennsylvania,8,27.3,32.7,39.8
Rhode Island,8,22.1,28.2,32.9
South Carolina,8,22.4,31.4,34.4
South Dakota,8,21.7,24.2,31.0
Tennessee,8,26.8,30.8,36.6
Texas,8,25.6,32.1,36.2
Utah,8,27.3,33.3,37.2
Vermont,8,18.4,25.0,27.9
Virginia,8,26.9,31.9,36.9
Washington,8,26.4,30.5,34.7
West Virginia,8,30.2,34.7,38.4
Wisconsin,8,15.7,21.3,24.6
Wyoming,8,17.6,23.7,28.4
Alabama,9,26.5,28.7,35.9
Alaska,9,23.8,32.5,35.3
Arizona,9,32.7,39.7,44.1
Arkansas,9,29.6,33.5,37.4
California,9,27.6,32.2,38.1
Colorado,9,26.1,33.0,37.3
Connecticut,9,24.0,32.5,35.3
Delaware,9,25.4,27.4,33.2
District of Columbia,9,27.6,29.6,39.4
Florida,9,31.8,37.7,43.8
Georgia,9,31.4,36.8,40.9
Hawaii,9,28.2,31.5,38.3
Idaho,9,29.5,32.9,40.7
Illinois,9,28.1,33.7,39.6
Indiana,9,26.2,34.7,38.1
Iowa,9,23.1,31.5,34.3
Kansas,9,20.9,28.0,31.4
Kentucky,9,26.4,33.9,38.5
Louisiana,9,32.2,40.5,44.9
Maine,9,23.8,32.0,35.6
Maryland,9,22.1,29.5,33.6
Massachusetts,9,24.2,28.7,34.5
Michigan,9,23.5,29.7,34.8
Minnesota,9,22.3,25.1,29.9
Mississippi,9,34.4,36.5,42.1
Missouri,9,25.6,32.2,35.8
Montana,9,22.2,25.7,30.6
Nebraska,9,22.0,27.8,30.5
Nevada,9,26.8,35.0,39.1
New Hampshire,9,24.3,27.5,32.4
New Jersey,9,24.2,30.2,33.9
New Mexico,9,29.7,32.2,39.1
New York,9,23.9,30.6,34.3
North Carolina,9,22.7,30.4,33.4
North Dakota,9,25.0,29.4,34.0
Ohio,9,23.3,28.8,34.6
Oklahoma,9,32.8,36.5,43.0
Oregon,9,27.1,34.1,38.9
Pennsylvania,9,26.5,33.4,37.5
Rhode Island,9,24.0,28.9,35.2
South Carolina,9,28.9,35.0,39.4
South Dakota,9,25.1,31.4,35.0
Tennessee,9,30.5,37.6,42.4
Texas,9,28.2,35.9,40.7
Utah,9,26.0,33.0,36.7
Vermont,9,22.3,29.7,32.8
Virginia,9,24.2,29.3,33.1
Washington,9,31.1,37.0,42.0
West Virginia,9,34.5,40.5,45.1
Wisconsin,9,19.0,25.5,29.2
Wyoming,9,23.4,31.6,34.2
Alabama,10,28.6,34.4,39.6
Alaska,10,21.5,27.3,32.9
Arizona,10,31.3,36.6,42.4
Arkansas,10,30.2,34.7,41.2
California,10,27.6,32.9,39.4
Colorado,10,30.0,35.4,42.4
Connecticut,10,26.3,33.6,39.0
Delaware,10,22.7,27.3,31.5
District of Columbia,10,24.9,35.2,37.8
Florida,10,27.9,37.8,42.0
Georgia,10,27.1,32.5,38.0
Hawaii,10,28.9,34.2,37.1
Idaho,10,25.6,32.7,37.7
Illinois,10,27.6,35.1,39.4
Indiana,10,27.7,34.8,39.0
Iowa,10,17.5,29.6,31.6
Kansas,10,21.5,32.3,35.8
Kentucky,10,27.4,36.3,39.9
Louisiana,10,33.5,38.6,44.8
Maine,10,26.6,32.8,36.3
Maryland,10,22.5,32.2,36.1
Massachusetts,10,21.8,30.1,33.4
Michigan,10,26.6,31.1,36.7
Minnesota,10,20.9,27.6,31.1
Mississippi,10,32.0,40.2,43.7
Missouri,10,28.8,35.3,40.6
Montana,10,23.8,31.7,34.3
Nebraska,10,23.6,25.7,30.9
Nevada,10,34.6,40.6,44.8
New Hampshire,10,19.7,32.5,35.7
New Jersey,10,25.9,33.6,38.2
New Mexico,10,32.5,38.1,43.3
New York,10,28.5,34.7,39.7
North Carolina,10,28.3,33.4,38.4
North Dakota,10,23.0,29.1,32.6
Ohio,10,25.6,31.9,34.9
Oklahoma,10,29.4,39.4,42.9
Oregon,10,29.9,35.4,39.7
Pennsylvania,10,26.0,33.2,37.2
Rhode Island,10,22.8,31.4,34.8
South Carolina,10,29.3,31.4,38.6
South Dakota,10,26.7,31.3,35.2
Tennessee,10,31.7,34.6,41.9
Texas,10,30.5,36.1,41.6
Utah,10,25.0,29.1,34.7
Vermont,10,22.2,29.2,32.2
Virginia,10,29.5,29.5,38.5
Washington,10,27.8,37.5,42.0
West Virginia,10,24.2,31.9,34.6
Wisconsin,10,24.6,30.7,34.1
Wyoming,10,26.5,31.5,36.0
Alabama,11,30.4,34.9,40.1
Alaska,11,27.4,35.1,39.6
Arizona,11,33.9,39.9,44.2
Arkansas,11,34.8,40.0,45.1
California,11,31.8,39.1,44.5
Colorado,11,26.1,35.2,39.2
Connecticut,11,26.7,31.0,35.7
Delaware,11,23.3,31.0,34.4
District of Columbia,11,20.8,23.8,28.0
Florida,11,31.7,39.0,43.6
Georgia,11,29.0,37.1,43.6
Hawaii,11,28.3,31.4,36.7
Idaho,11,27.5,32.4,37.3
Illinois,11,23.7,28.9,34.0
Indiana,11,29.4,36.8,40.7
Iowa,11,17.7,25.2,28.9
Kansas,11,24.8,28.8,35.2
Kentucky,11,30.7,37.8,42.2
Louisiana,11,31.1,40.6,45.4
Maine,11,22.4,26.9,33.0
Maryland,11,22.2,29.9,33.6
Massachusetts,11,23.8,34.2,38.2
Michigan,11,23.0,31.7,35.6
Minnesota,11,22.0,27.5,31.5
Mississippi,11,36.1,38.0,46.5
