State,Period,Depression_Score,Anxiety_Score,Mix_Score
Alaska,15,25.2,29.9,35.5
Arizona,15,28.2,34.9,39.3
Arkansas,15,23.1,28.7,31.6
California,15,28.7,37.2,42.3
Colorado,15,25.2,34.2,37.7
Connecticut,15,19.0,30.4,33.5
Delaware,15,18.3,24.8,28.0
District of Columbia,15,27.5,40.2,46.4
Florida,15,25.4,32.8,36.4
Georgia,15,25.0,32.0,35.3
Hawaii,15,24.0,28.7,33.3
Idaho,15,22.8,29.3,33.2
Illinois,15,23.9,30.8,36.3
Indiana,15,24.5,31.8,36.6
Iowa,15,25.5,27.5,34.2
Kansas,15,22.9,30.6,35.2
Kentucky,15,30.7,32.4,39.8
Louisiana,15,29.6,38.5,44.5
Maine,15,17.5,31.5,33.5
Maryland,15,20.3,30.6,35.3
Massachusetts,15,23.2,32.2,38.4
Michigan,15,21.0,28.6,33.2
Minnesota,15,17.4,26.9,30.5
Mississippi,15,28.5,35.0,38.0
Missouri,15,22.7,29.9,33.8
Montana,15,24.4,33.1,38.2
Nebraska,15,19.2,27.6,30.8
Nevada,15,31.3,35.6,42.8
New Hampshire,15,19.0,29.4,32.2
New Jersey,15,23.7,34.9,38.3
New Mexico,15,29.1,38.0,43.2
New York,15,23.5,32.3,36.2
North Carolina,15,21.5,28.7,32.6
North Dakota,15,19.0,23.2,27.7
Ohio,15,24.7,32.3,36.5
Oklahoma,15,23.1,29.2,34.5
Oregon,15,31.8,41.1,47.6
Pennsylvania,15,24.1,30.7,34.6
Rhode Island,15,23.4,33.4,38.3
South Carolina,15,20.6,31.8,35.3
South Dakota,15,17.0,22.5,27.3
Tennessee,15,25.9,30.5,35.6
Texas,15,28.0,33.2,39.5
Utah,15,26.8,33.9,38.5
Vermont,15,22.9,33.0,36.6
Virginia,15,24.6,31.1,36.5
Washington,15,25.7,34.6,39.9
West Virginia,15,28.0,36.4,39.2
Wisconsin,15,19.4,28.4,30.8
Wyoming,15,22.4,29.1,33.2
Alabama,16,25.0,29.4,33.6
Alaska,16,27.1,32.6,37.4
Arizona,16,25.0,31.7,37.8
Arkansas,16,30.2,35.4,42.3
California,16,29.4,36.2,42.4
Colorado,16,23.8,32.8,37.5
Connecticut,16,22.9,28.4,34.6
Delaware,16,24.6,32.8,39.0
District of Columbia,16,19.9,34.8,37.1
Florida,16,26.0,31.7,37.8
Georgia,16,23.9,29.0,34.7
Hawaii,16,30.1,30.6,40.2
Idaho,16,21.0,29.4,33.3
Illinois,16,24.1,32.2,36.6
Indiana,16,23.1,30.1,34.3
Iowa,16,19.6,26.8,29.6
Kansas,16,22.7,32.3,36.2
Kentucky,16,31.5,37.8,42.8
Louisiana,16,28.4,36.9,41.5
Maine,16,24.4,33.2,36.3
Maryland,16,24.4,30.6,36.9
Massachusetts,16,22.5,34.2,37.6
Michigan,16,25.6,32.9,37.0
Minnesota,16,19.9,26.2,30.7
Mississippi,16,25.1,30.6,35.1
Missouri,16,25.5,30.7,36.4
Montana,16,19.9,27.8,32.8
Nebraska,16,20.9,28.7,32.5
Nevada,16,29.2,39.3,43.3
New Hampshire,16,19.8,27.3,31.4
New Jersey,16,22.5,34.7,39.1
New Mexico,16,26.1,33.9,41.1
New York,16,23.3,30.7,35.2
North Carolina,16,25.7,29.7,35.8
North Dakota,16,16.6,24.7,27.8
Ohio,16,25.5,33.6,38.5
Oklahoma,16,27.2,33.9,38.1
Oregon,16,24.9,35.1,39.0
Pennsylvania,16,25.1,32.6,37.7
Rhode Island,16,22.4,29.5,35.1
South Carolina,16,20.3,28.3,32.9
South Dakota,16,19.0,26.9,31.3
Tennessee,16,24.5,30.7,36.2
Texas,16,29.0,33.2,38.8
Utah,16,23.5,31.1,36.1
Vermont,16,30.1,36.9,44.0
Virginia,16,23.1,28.7,32.9
Washington,16,25.2,34.5,38.5
West Virginia,16,27.5,37.1,42.8
Wisconsin,16,21.6,30.7,34.5
Wyoming,16,22.2,27.0,33.1
Alabama,17,27.7,29.9,36.0
Alaska,17,25.7,33.0,38.5
Arizona,17,30.8,35.1,39.8
Arkansas,17,27.3,32.0,38.5
California,17,27.7,35.3,39.9
Colorado,17,26.1,34.1,37.7
Connecticut,17,21.8,32.5,36.9
Delaware,17,23.3,31.7,34.3
District of Columbia,17,26.2,35.1,40.1
Florida,17,25.9,30.3,35.7
Georgia,17,25.1,33.2,37.8
Hawaii,17,27.5,32.2,38.8
Idaho,17,25.9,31.2,35.9
Illinois,17,24.2,30.5,34.8
Indiana,17,27.2,35.3,38.8
Iowa,17,22.4,29.9,33.4
Kansas,17,26.2,34.8,39.6
Kentucky,17,29.5,35.3,41.9
Louisiana,17,31.6,33.6,41.2
Maine,17,22.8,32.5,35.9
Maryland,17,23.8,33.0,37.1
Massachusetts,17,25.3,33.8,37.8
Michigan,17,25.8,31.3,37.0
Minnesota,17,19.3,25.9,30.6
Mississippi,17,33.4,35.9,41.5
Missouri,17,29.4,35.2,40.8
Montana,17,20.1,29.4,34.8
Nebraska,17,21.8,28.6,33.3
Nevada,17,31.0,37.1,41.9
New Hampshire,17,20.8,26.5,31.0
New Jersey,17,23.4,31.0,35.7
New Mexico,17,31.9,39.5,46.3
New York,17,27.0,34.3,38.9
North Carolina,17,21.4,27.0,32.4
North Dakota,17,20.2,28.0,30.9
Ohio,17,25.0,31.7,37.2
Oklahoma,17,25.9,34.8,39.3
Oregon,17,26.9,36.6,41.4
Pennsylvania,17,22.2,31.6,35.4
Rhode Island,17,24.0,35.6,39.1
South Carolina,17,25.1,32.8,36.5
South Dakota,17,19.7,24.2,28.7
Tennessee,17,23.9,32.0,37.8
Texas,17,29.4,34.7,41.4
Utah,17,22.4,29.1,33.1
Vermont,17,21.5,33.3,36.1
Virginia,17,23.8,30.0,35.6
Washington,17,28.4,35.9,41.7
West Virginia,17,25.2,31.9,36.0
Wisconsin,17,22.7,32.1,36.0
Wyoming,17,20.8,28.3,32.0
Alabama,18,33.8,35.3,44.8
Alaska,18,27.1,32.7,38.2
Arizona,18,27.2,35.5,40.3
Arkansas,18,28.3,38.8,41.6
California,18,29.7,38.2,43.7
Colorado,18,29.2,40.5,43.3
Connecticut,18,26.6,38.2,41.8
Delaware,18,28.0,37.7,41.5
District of Columbia,18,31.1,45.6,50.1
Florida,18,30.1,38.3,43.6
Georgia,18,30.9,39.0,46.4
Hawaii,18,30.1,37.0,43.4
Idaho,18,28.1,35.3,42.2
Illinois,18,28.5,36.2,41.8
Indiana,18,29.4,35.0,40.9
Iowa,18,29.4,41.0,44.3
Kansas,18,30.9,40.4,43.6
Kentucky,18,27.1,37.6,40.8
Louisiana,18,30.3,37.6,42.3
Maine,18,27.8,40.5,43.8
Maryland,18,24.7,35.7,39.7
Massachusetts,18,28.2,37.6,42.8
Michigan,18,22.2,31.1,34.8
Minnesota,18,23.8,33.6,37.1
Mississippi,18,28.8,37.8,42.7
Missouri,18,27.5,35.5,40.3
Montana,18,22.9,36.6,39.4
Nebraska,18,23.8,33.0,38.1
Nevada,18,34.0,39.9,47.3
New Hampshire,18,21.5,36.0,39.2
New Jersey,18,23.2,33.5,36.9
New Mexico,18,32.6,40.1,44.2
New York,18,22.0,33.0,36.5
North Carolina,18,27.6,36.0,42.3
North Dakota,18,17.0,22.3,25.5
Ohio,18,26.7,37.1,42.0
Oklahoma,18,27.1,40.0,43.3
Oregon,18,29.0,38.4,44.1
Pennsylvania,18,27.8,36.1,41.3
Rhode Island,18,25.6,38.6,42.3
South Carolina,18,28.2,37.3,41.4
South Dakota,18,20.0,28.6,32.3
Tennessee,18,25.0,32.5,36.7
Texas,18,31.2,37.2,44.4
Utah,18,24.3,33.0,36.4
Vermont,18,30.0,37.3,43.8
Virginia,18,24.0,30.5,36.7
Washington,18,24.4,34.7,38.8
West Virginia,18,25.7,35.7,39.3
Wisconsin,18,27.0,36.0,39.2
Wyoming,18,23.5,30.0,37.0
